"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 28 20:39:13 GMT 2022","Sun Aug 28 20:39:16 GMT 2022","3404","","com.github.AllureReportTest","","com.github.AllureReportTest","issueSearchWithSteps","Issue search with steps",""
"passed","Sun Aug 28 20:39:16 GMT 2022","Sun Aug 28 20:39:19 GMT 2022","3104","","com.github.AllureReportTest","","com.github.AllureReportTest","pureSelenideIssueSearch","Pure Selenide issue search",""
"passed","Sun Aug 28 20:39:00 GMT 2022","Sun Aug 28 20:39:13 GMT 2022","12492","","com.github.AllureReportTest","","com.github.AllureReportTest","lambdaStepsIssueSearch","Issue search with lambda steps",""
